2025-08-26 13:50:54,336 - WARNING - watch_tickers failed: Connection closed by remote server, closing code 1006
Traceback (most recent call last):
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/crypto_bot/utils/symbol_pre_filter.py", line 225, in _refresh_tickers
    data = await exchange.watch_tickers(to_fetch)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/venv/lib/python3.11/site-packages/ccxt/pro/kraken.py", line 665, in watch_tickers
    ticker = await self.watch_multi_helper('ticker', 'ticker', symbols, None, params)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/brandonburnette/Downloads/coinTrader2.0-codex-modify-execute_signals-for-short-selling/venv/lib/python3.11/site-packages/ccxt/pro/kraken.py", line 1483, in watch_multi_helper
    return await self.watch_multiple(url, messageHashes, request, messageHashes, subscriptionArgs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ccxt.base.errors.NetworkError: Connection closed by remote server, closing code 1006
2025-08-26 13:50:54,339 - INFO - watch_tickers failed, falling back to HTTP fetch
2025-08-26 13:51:33,780 - INFO - 1INCH/EUR: vol=4414.13 chg=3.71% spr=0.19%
2025-08-26 13:51:33,780 - INFO - 1INCH/USD: vol=22610.74 chg=4.04% spr=0.12%
2025-08-26 13:51:33,781 - INFO - AAVE/ETH: vol=19.97 chg=0.14% spr=0.27%
2025-08-26 13:51:33,781 - INFO - AAVE/EUR: vol=670524.66 chg=3.18% spr=0.00%
2025-08-26 13:51:33,781 - INFO - AAVE/GBP: vol=126741.81 chg=2.77% spr=0.09%
2025-08-26 13:51:33,781 - INFO - AAVE/USD: vol=5978721.87 chg=3.75% spr=0.03%
2025-08-26 13:51:33,781 - INFO - AAVE/BTC: vol=4.99 chg=2.73% spr=0.07%
2025-08-26 13:51:33,781 - INFO - AB/EUR: vol=44108.40 chg=-0.18% spr=0.28%
2025-08-26 13:51:33,781 - INFO - AB/USD: vol=59921.32 chg=0.28% spr=0.14%
2025-08-26 13:51:33,781 - INFO - ACA/EUR: vol=584.93 chg=6.60% spr=4.34%
2025-08-26 13:51:33,781 - INFO - ACA/USD: vol=1143.60 chg=0.90% spr=4.41%
2025-08-26 13:51:33,781 - INFO - ACH/EUR: vol=1307.77 chg=1.56% spr=0.11%
2025-08-26 13:51:33,781 - INFO - ACH/USD: vol=42691.08 chg=2.14% spr=0.10%
2025-08-26 13:51:33,781 - INFO - ACT/EUR: vol=69.63 chg=0.92% spr=5.99%
2025-08-26 13:51:33,781 - INFO - ACT/USD: vol=318.52 chg=2.23% spr=0.25%
2025-08-26 13:51:33,781 - INFO - ACX/EUR: vol=294.72 chg=2.73% spr=0.28%
2025-08-26 13:51:33,781 - INFO - ACX/USD: vol=837.84 chg=1.54% spr=0.24%
2025-08-26 13:51:33,781 - INFO - ADA/AUD: vol=296280.04 chg=2.39% spr=0.40%
2025-08-26 13:51:33,781 - INFO - ADA/ETH: vol=11.68 chg=-0.84% spr=0.37%
2025-08-26 13:51:33,781 - INFO - ADA/EUR: vol=2707100.34 chg=2.90% spr=0.03%
2025-08-26 13:51:33,781 - INFO - ADA/GBP: vol=199169.80 chg=2.96% spr=0.09%
2025-08-26 13:51:33,781 - INFO - ADA/USD: vol=13788407.36 chg=3.20% spr=0.00%
2025-08-26 13:51:33,781 - INFO - ADA/USDT: vol=680139.18 chg=3.21% spr=0.00%
2025-08-26 13:51:33,781 - INFO - ADA/BTC: vol=1.53 chg=2.36% spr=0.26%
2025-08-26 13:51:33,781 - INFO - ADX/EUR: vol=38.54 chg=2.43% spr=5.02%
2025-08-26 13:51:33,781 - INFO - ADX/USD: vol=8854.30 chg=5.11% spr=3.26%
2025-08-26 13:51:33,781 - INFO - AERO/EUR: vol=137404.22 chg=4.61% spr=0.88%
2025-08-26 13:51:33,781 - INFO - AERO/USD: vol=1293100.50 chg=5.56% spr=0.18%
2025-08-26 13:51:33,781 - INFO - A/EUR: vol=8754.33 chg=2.25% spr=0.67%
2025-08-26 13:51:33,781 - INFO - AEVO/EUR: vol=3424.58 chg=3.44% spr=0.13%
2025-08-26 13:51:33,781 - INFO - AEVO/USD: vol=15976.46 chg=3.64% spr=0.22%
2025-08-26 13:51:33,781 - INFO - AGLD/EUR: vol=311.60 chg=2.12% spr=7.64%
2025-08-26 13:51:33,781 - INFO - AGLD/USD: vol=323.16 chg=3.77% spr=7.27%
2025-08-26 13:51:33,781 - INFO - AI16Z/EUR: vol=20938.94 chg=3.29% spr=0.11%
2025-08-26 13:51:33,781 - INFO - AI16Z/USD: vol=315032.95 chg=3.82% spr=0.09%
2025-08-26 13:51:33,781 - INFO - AI16Z/USDT: vol=95151.06 chg=2.61% spr=0.09%
2025-08-26 13:51:33,781 - INFO - AIOZ/EUR: vol=5259.93 chg=1.56% spr=0.10%
2025-08-26 13:51:33,781 - INFO - AIOZ/USD: vol=76352.98 chg=1.16% spr=0.06%
2025-08-26 13:51:33,781 - INFO - AIR/EUR: vol=1303.96 chg=-5.14% spr=5.08%
2025-08-26 13:51:33,781 - INFO - AIR/USD: vol=5307.58 chg=-1.42% spr=1.15%
2025-08-26 13:51:33,781 - INFO - AIBTC/EUR: vol=4927.97 chg=3.57% spr=0.22%
2025-08-26 13:51:33,781 - INFO - AIBTC/USD: vol=21115.39 chg=2.67% spr=0.10%
2025-08-26 13:51:33,781 - INFO - AKE/USD: vol=322967.05 chg=3.85% spr=1.40%
2025-08-26 13:51:33,781 - INFO - AKT/EUR: vol=18895.00 chg=5.70% spr=0.14%
2025-08-26 13:51:33,781 - INFO - AKT/USD: vol=286743.65 chg=5.27% spr=0.09%
2025-08-26 13:51:33,782 - INFO - ALCH/EUR: vol=536.42 chg=2.70% spr=3.86%
2025-08-26 13:51:33,782 - INFO - ALCH/USD: vol=2410.68 chg=-2.50% spr=0.98%
2025-08-26 13:51:33,782 - INFO - ALCX/EUR: vol=1927.38 chg=5.05% spr=0.57%
2025-08-26 13:51:33,782 - INFO - ALCX/USD: vol=31847.01 chg=4.84% spr=0.29%
2025-08-26 13:51:33,782 - INFO - ALGO/ETH: vol=1.05 chg=-1.25% spr=0.36%
2025-08-26 13:51:33,782 - INFO - ALGO/EUR: vol=244370.98 chg=3.35% spr=0.01%
2025-08-26 13:51:33,782 - INFO - ALGO/GBP: vol=83796.40 chg=2.60% spr=0.06%
2025-08-26 13:51:33,782 - INFO - ALGO/USD: vol=1368995.02 chg=3.74% spr=0.01%
2025-08-26 13:51:33,782 - INFO - ALGO/USDT: vol=125644.84 chg=3.56% spr=0.03%
2025-08-26 13:51:33,782 - INFO - ALGO/BTC: vol=0.08 chg=3.00% spr=0.13%
2025-08-26 13:51:33,782 - INFO - ALICE/EUR: vol=419.81 chg=0.78% spr=1.48%
2025-08-26 13:51:33,782 - INFO - ALICE/USD: vol=330.34 chg=-0.47% spr=3.29%
2025-08-26 13:51:33,782 - INFO - ALKIMI/EUR: vol=1160.81 chg=-4.55% spr=0.58%
